,Accuracy,F1 Score,ROC AUC,Recall,Precision,PR AUC
Logistic Regression 3,0.8076666666666666,0.3932702418506835,0.7550046465479293,0.28484386900228487,0.634974533106961,0.4986698554008637
Random Forest Classifier 3,0.8146666666666667,0.45543584720861896,0.7554038970554423,0.3541507996953541,0.6378600823045267,0.5107532807662893
Decision Tree Classifier 3,0.7216666666666667,0.38557763061074324,0.6059859789461574,0.3990860624523991,0.37295373665480425,0.28057594832841815
AdaBoost Classifier 3,0.8188333333333333,0.4501770359129995,0.7765012070949919,0.3389185072353389,0.6701807228915663,0.5256890405633987
Gradient Boosting Classifier 3,0.82,0.46322067594433397,0.7813121188372305,0.3549124143183549,0.6666666666666666,0.5425747828788814
XGBoost Classifier 3,0.8125,0.45148707947342764,0.7616216102908809,0.3526275704493526,0.6273712737127372,0.5156839076040725
