,Accuracy,F1 Score,Recall,Precision,PR AUC
Logistic Regression New Baseline,0.8071666666666667,0.380952380952381,0.27113480578827115,0.6402877697841727,0.4986664247114438
Random Forest New Baseline,0.8115,0.46168491194669214,0.3693830921553694,0.6154822335025381,0.49245877813017913
AdaBoost New Baseline,0.8201666666666667,0.4486458865610629,0.33434881949733436,0.6816770186335404,0.5316937834705276
Gradient Boosting New Baseline,0.8205,0.46603867129400095,0.357958872810358,0.6676136363636364,0.5428456029515855
XGBoost New Baseline,0.8141666666666667,0.45530043966780653,0.3549124143183549,0.6348773841961853,0.5086303048484369
